Date,Link,OptionText
2021-11-27 21:01:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870357172140695552,India 🇮🇳 
2021-11-16 10:05:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6863327038468689921,went for🤨
2021-11-08 05:14:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6863320983026065408,Risks 
2021-10-29 13:34:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6859834713025204224,Yes
2021-10-19 08:43:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856101638713827328,"Yes, please! I want to go!"
2021-10-15 13:22:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6854663782900236288,Yes yes yes!
2021-10-14 07:18:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6854180867510673408,0.5
2021-10-11 19:00:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6853246709405954048,"Yes, we should!"
2021-10-07 07:28:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6851759620583776256,3. 50% to 100%
2021-10-06 12:49:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:6851475989487243264,Tableau
2021-10-01 08:45:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6849600558068772864,No
2021-09-28 16:42:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6848522702467215360,Kota Factory
2021-09-26 14:10:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6847875469027753984,3. SQL
2021-09-25 20:01:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:6847493835606507520,Between 25-30
2021-09-24 03:47:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6846728138756521984,Sleep
2021-09-23 07:33:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6846447437658234880,Yes
2021-09-21 14:45:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6846039183765721088,Regression
2021-09-08 09:21:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6841193287643201536,"Rs 10,000-20,000"
2021-09-06 10:33:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:6840566988314591232,5 working days - 8 hours/day
2021-09-02 09:43:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:6839098752729538560,Roles 
2021-08-30 15:14:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6837962096035053568,20% more time with family
2021-08-11 20:06:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831095726055964672,yes
2021-08-11 04:55:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6830945924093620224,Human Surgeon (80% accuracy)
2021-08-10 06:10:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6830727703361142784,3. Entrepreneur
2021-07-25 09:23:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6824886013064818688,Lead Data Scientist
2021-07-22 17:54:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6824011842629754880,Content / Learn something new
2021-07-21 20:44:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6823592002400198657,Python
2021-07-21 11:50:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6823519641109893120,LinkedIn
2021-07-21 06:48:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6823181219660906496,Friends
2021-07-19 14:47:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6822810756397051904,Tableau
2021-07-16 09:00:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6821707841364201472,Bangalore
2021-07-12 07:34:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6820211770481786880,YT channel with 100K followers
2021-07-09 09:02:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6819151528687992832,Money
2021-07-06 16:44:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6818203200974307328,75% +
2021-07-03 06:29:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6816962289812549632,Python
2021-06-29 07:20:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6814639431279108096,No
2021-06-26 12:22:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6814478302342860801,Indeed
2021-06-26 04:18:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6814388310299967488,Man-Made 
2021-06-16 00:48:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810631770883653632,Evening(8PM-10PM)
2021-06-16 00:48:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810694735863283712,Running 🏃🏼‍♀️ + Data 👩🏼‍💻
2021-06-15 05:54:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810306314187624448,A) Dashboard Developer
2021-06-04 12:22:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6806420651084185600,Cardano(Ada)
2021-06-04 12:11:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6806517850577227776,Supervised Learning Models 
2021-06-03 12:06:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6806173574425051137,Demo a project you have built
2021-06-01 14:35:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6805376727506857984,Work Culture/Work Life Balance
2021-05-31 05:45:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6804974688700289024,Digital Wallet
2021-05-17 10:57:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:6800006717519249410,I’d choose B
2021-05-14 14:23:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6798842530982187008,Attitude
2021-04-22 19:46:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:6790236756009734144,Data Scientist
2021-01-23 21:59:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6758616391269675008,final
2021-01-23 07:10:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6758273569463050240,No
2021-01-16 13:16:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:6756172342067503104,Github
2020-10-08 11:22:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6719813794983415808,Text Data
2020-09-08 04:41:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6708929304291504128,day-taa
2020-08-13 16:07:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6699634348284628992,No
2020-07-15 11:27:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6689077787791290369,Hopeful
2020-07-11 23:17:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6687230319952752640,Attitude
2020-07-09 15:01:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6686867403386839040,Already remote 😎
2020-06-20 01:04:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6679708763257221120,Yes
2020-06-04 10:37:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6674252686310948864,Varies from day to day 📊
2020-05-14 14:13:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6666687129655095297,Need a mix of in-office & WFH
